TEXT;Age group;Gender;TOPICS
Occasionally expired to discount;60+;Female;Other
Okay, what I wanted, I got it;30 - 60;Female;Availability of goods | Range of goods
It's all here at hand and clear;60+;Female;Arrangement of the store | Look and feel | Clarity
It's a small business but it's good;60+;Male;Look and feel | Space
He is here. I like a lot of parking here;30 - 60;Male;Parking
To complete the self-service checkout;60+;Female;Self-checkout
It's a disorderly, sometimes queue, high price;60+;Female;Queues | Pricing | Clarity
I have it at the house and I don't like big stores;60+;Female;Proximity
Transparency in price tags somewhere are not or disagree;30 - 60;Male;Price Tags
All quality and cheap;60+;Female;Pricing | Quality of goods
Only one cash register works;30 - 60;Female;Queues
Arranging for more space in the streets;60+;Female;Space
Thursday and Friday unusually queue at the ticket offices, otherwise availability;30 - 60;Female;Queues
I got it on the way home;60+;Male;Other
The store should be open longer.;60+;Male;Opening hours
Because there's nothing I would be unhappy about;30 - 60;Female;Other
They had a huge assortment for large premises, shop unused;30 - 60;Male;Space | Range of goods
Complies with self-service checkout range;30 - 60;Male;Self-checkout | Range of goods
There's plenty to buy, and other stores.;60+;Female;Range of goods
Clarify, better orientation boards;60+;Male;Arrangement of the store | Clarity
Change for the better in stores, more bright.;60+;Female;Other
It is good here, I have it near and better prices than elsewhere, a mess in the shop at times.;60+;Female;Pricing | Proximity
Frequent events, discounted goods;30 - 60;Female;Pricing | Promotions
Small queues;< 30;Female;Queues
Better willingness of staff, with the size of stores probably do not do much;< 30;Male;Space | Staff
Satisfied very, everything is really fresh here.;< 30;Female;Look and feel | Quality of goods
More expensive trade than competitors;30 - 60;Female;Pricing
The staff are helpful, I am satisfied;60+;Female;Look and feel | Staff
Enlarge the streets. Missing shelf;30 - 60;Female;Arrangement of the store | Space
The Roma mind me;< 30;Female;Other
We come here according to what they have in action, parking, product selection;30 - 60;Male;Parking | Promotions | Range of goods
Nice and relaxed staff with good discounts and find everything I need;60+;Female;Arrangement of the store | Look and feel | Promotions | Staff
It's good for shopping here, it's spacious;< 30;Female;Space
At rest I can choose a snack I like.;60+;Male;Availability of goods
Have a larger selection of pastries and cakes;< 30;Female;Availability of goods | Availability of bakery | Range of bakery | Range of goods
Well, it's small;60+;Female;Space
Larger assortment, long queues;< 30;Male;Queues | Range of goods
I can't think of anything at the moment ....;< 30;Female;Other
Few people, not even queues, off the shop;60+;Female;Queues
Clear, enough space, enough assortment;60+;Female;Clarity | Space | Range of goods
Prices, cheaper goods, get at least a ruin to prices such as Penny;< 30;Male;Pricing
The advantage here is the excellent butcher.;60+;Female;Quality of meat | Quality of goods
Nice shop, good saleswoman always advise;60+;Male;Look and feel | Staff
They should have been here to change the assortment a little and improve the quality of vegetables;60+;Male;Quality of FV | Range of goods | Quality of goods
Big queues at checkout whenever we're here;< 30;Male;Queues
There is a close and sufficient assortment and a penny card with discounts.;< 30;Male;Promotions | Range of goods | Proximity
The spaciousness of the shop, food selection;< 30;Female;Space | Range of goods
There's a decent choice I like the self-checkout;< 30;Male;Self-checkout | Range of goods
I hate the long queues at the cash registers and the self-service have the same problems.;60+;Female;Queues | Self-checkout
Everything okay, I like shopping here.;30 - 60;Male;Look and feel
Satisfaction, clear shop and a wide assortment, they have excellent egg sandwiches;60+;Female;Clarity | Range of goods | Quality of goods
Cheap butter and more discounts at the store;60+;Female;Pricing | Promotions
Poor quality fruit;< 30;Female;Quality of FV | Quality of goods
Product selection expand;60+;Male;Range of goods
Shopping is good here, it is not crowded here like in Kaufland.;30 - 60;Male;Look and feel | Queues
Just come here a little when we go by and everything is fine;60+;Female;Look and feel
Transparency of the store great.;30 - 60;Female;Arrangement of the store | Clarity
I come here because the pharmacy is near;60+;Male;Other
They should have wider streets ,,;30 - 60;Female;Space
Reduce prices for vegetables and fruits;60+;Male;Pricing
I buy a normal business and go;60+;Female;Range of goods
Here they always buy a small shop well, but there's everything;30 - 60;Male;Space | Range of goods
Often the shelves and narrow streets will be empty, waiting at the ticket offices;60+;Male;Availability of goods | Queues | Space
Frequent queues, more cashiers, it's unedited here;30 - 60;Male;Queues | Clarity
Still not all I want;< 30;Female;Availability of goods | Range of goods
Everything OK just in the evening are sometimes queue;30 - 60;Male;Other
Good offer fresh bread.;60+;Male;Availability of goods | Availability of bakery
Small selection of sausages, expand the range;60+;Male;Range of goods
Perfect service;30 - 60;Male;Staff
We are satisfied here, it is spacious;60+;Female;Look and feel | Space
There are too many people and little space for baskets and ATMs;60+;Male;Queues | Space
The fruit is good quality and does not rot right away;30 - 60;Female;Quality of FV | Quality of goods
Quite a good selection of well arranged store;30 - 60;Female;Clarity | Range of goods
Bad vegetables do not fit price tags;< 30;Female;Quality of FV | Price Tags | Quality of goods
Good pastries, quality assortment;30 - 60;Female;Quality of bakery | Range of goods | Quality of goods
Well, sometimes just do not need cash register ok, there are queues.;30 - 60;Male;Queues
It is easily accessible and advantageous offers, long opening hours;60+;Male;Opening hours | Promotions
for my little Today's purchase is very enough;60+;Female;Look and feel
Interesting offer fresh bistro fresh vegetables;30 - 60;Male;Availability of goods | Quality of FV | Quality of goods
Poor meat is not always all the goods;< 30;Male;Availability of goods | Quality of meat | Quality of goods
Because it is clear, cost-effective, hygienic and pleasant it is here.;< 30;Female;Look and feel | Pricing | Clarity
Well done here, more modern;< 30;Male;Look and feel
There's a lack of vegetable fruits;< 30;Female;Availability of goods | Range of FV | Availability of FV | Range of goods
Either fill more cash registers or it would be good to buy self-service.;30 - 60;Female;Queues | Self-checkout
Too bad there is no restaurant;< 30;Female;Vouchers, loyalty
Satisfied, they're nice here;30 - 60;Male;Staff
The next day the event is sold out;< 30;Female;Availability of goods | Availability of promo goods
Queues ideally self-service cash registers;60+;Male;Queues | Self-checkout
I do not like the functionality of cash registers, they often work only self-service;30 - 60;Male;Self-checkout
It is close, a large selection of goods, but a lot of people and queue.;< 30;Female;Queues | Range of goods | Proximity
The store can't do anything;30 - 60;Female;Look and feel
Better attitude of staff when dealing with complaints, more willingness when I need advice;60+;Female;Staff
Sometimes they don't have goods in action;30 - 60;Female;Availability of goods | Availability of promo goods
There are discounts today, there is a terrible struggle, otherwise there are good shopping, wide aisles for the carriage, Kaufland is an expensive shop if there are no discounts.;< 30;Male;Arrangement of the store | Pricing | Promotions
Large assortment of goods. quality;< 30;Male;Range of goods | Quality of goods
Gorgeous clean amazing shop all ok;< 30;Male;Look and feel | Cleanliness
Rotten vegetables and little goods;30 - 60;Female;Availability of goods | Quality of FV | Range of goods | Quality of goods
Right prices are elsewhere it's not well marked;30 - 60;Female;Arrangement of the store | Price Tags
Great availability, but limited range;60+;Male;Range of goods
Nice new shop, nice change;60+;Male;Look and feel
It's small, sometimes I miss something;30 - 60;Female;Space | Range of goods
Staff, assortment, events, everything ok;30 - 60;Male;Promotions | Range of goods | Staff
Nice shop, good selection of goods.;30 - 60;Female;Look and feel | Range of goods
I don't miss anything here, I like it here;60+;Male;Look and feel | Range of goods
They have self-service checkouts;60+;Male;Self-checkout
Rotates staff;< 30;Female;Staff
Improve the entrance to the store is uncomfortable.;< 30;Female;Look and feel
Good sausages, meat and pastries, a large selection of beer.;60+;Female;Quality of meat | Quality of bakery | Range of goods | Quality of goods
Small selection, small shop, smaller quality goods;60+;Female;Space | Range of goods | Quality of goods
Convenient store conversion, it's better.;60+;Female;Look and feel
It's a shop for small necessary purchases.;< 30;Male;Range of goods
Freshness of food;30 - 60;Female;Quality of goods
It is close to home and have a good assortment up to the queues at the checkout;< 30;Female;Queues
More vegetables, more often check price tags.;< 30;Female;Quality of FV | Price Tags | Quality of goods
Here I like the environment, choice and approach of the staff. Quality is fine, too.;30 - 60;Male;Look and feel | Range of goods | Staff | Quality of goods
Quality food;< 30;Male;Quality of goods
Fresh meat, salami, sausages;30 - 60;Female;Quality of meat | Quality of goods
Reluctant staff;< 30;Male;Staff
I will find. Here everything I need and I park well;30 - 60;Female;Availability of goods | Arrangement of the store | Parking
Well, wide offer, fewer people;60+;Male;Availability of goods | Queues | Clarity | Range of goods
Very pleasant shopping here pleasant environment;< 30;Male;Look and feel
They have expensive here;30 - 60;Male;Pricing
It's close to here and I don't have to go to town;60+;Female;Proximity
Poor parking, reluctant to give signs;60+;Male;Parking | Staff
I like it, I just leave a margin for grading;< 30;Female;Look and feel
Queues at the cash registers could therefore be 1 cash register self-service;60+;Female;Queues | Self-checkout
After the change it is nice here, clearer.;< 30;Male;Look and feel | Clarity
Pleasant environment and low prices;< 30;Female;Look and feel | Pricing
Bargain promotions and fresh goods;60+;Female;Promotions | Quality of goods
There is no room for improvement, all right.;60+;Female;Look and feel
I have it near the house and that's an advantage;< 30;Female;Proximity
It's all here, it's small and we're fine here;30 - 60;Female;Arrangement of the store | Look and feel | Space | Range of goods
Vice vendors because I can't find the goods;60+;Male;Look and feel | Cleanliness
Spacious shop, cleanly and tidy;60+;Male;Clarity | Space | Cleanliness
Better choice of security, some are rude and rude;< 30;Male;Security | Staff
Clarity, clean, assortment;30 - 60;Male;Clarity | Range of goods | Cleanliness
Grumpy, shop reconstruction;60+;Female;Cleanliness
Nice well-arranged shop, large selection;60+;Male;Look and feel | Clarity | Range of goods
Small and narrow streets between shelves.;60+;Male;Space
For the premises and had a small number of cashiers;60+;Male;Space | Staff
Suits quality assortment, it bothers higher prices for goods;30 - 60;Male;Pricing
It would make the shop bigger.;60+;Female;Space
Unclear price tags, jumbled food.;30 - 60;Male;Arrangement of the store | Price Tags
It is clean, supplemented goods;30 - 60;Male;Availability of goods | Cleanliness
They succeeded in rebuilding, it is easy to shop here;60+;Female;Look and feel
Close but queue meetings;30 - 60;Female;Queues
Great shop, well arranged.;< 30;Male;Clarity | Space
I have it close here, I like the trade, how it is arranged and clean.;30 - 60;Male;Arrangement of the store | Look and feel | Clarity | Proximity | Cleanliness
Smaller shop, smaller selection of goods, but mostly fresh;30 - 60;Male;Space | Range of goods | Quality of goods
The attendants at the ticket offices are uncomfortable;30 - 60;Male;Staff
The store is clear and in a good place;< 30;Female;Clarity
Satisfaction, only vegetables fruits occasionally do not take with;60+;Female;Other
Availability, opening hours and full range of goods;30 - 60;Female;Opening hours | Range of goods | Proximity
I really like it here, they are nice saleswomen;30 - 60;Male;Look and feel | Staff
Don't ask and get better.;60+;Male;Other
There is nothing for children or a bench nothing;< 30;Female;Vouchers, loyalty
More cash registers, improving the quality of payment employees;< 30;Female;Queues
Well done business;60+;Female;Look and feel
Occasionally queues at the ticket offices.;60+;Male;Queues
The size of the shop does not correspond to the size of the municipality.;60+;Female;Space
It is expensive and confusing and it stinks in it;30 - 60;Male;Pricing | Clarity | Cleanliness
It's small and clear and I got it;30 - 60;Male;Arrangement of the store | Clarity | Proximity
I take it it's a small shop and crowded with people and there's little staff;60+;Male;Queues | Space | Staff
Frequent actions;60+;Female;Promotions
It was never a very nice business here;< 30;Male;Look and feel
I find the bill better.;60+;Female;Other
Affordable merchandise and promotions on merchandise;60+;Female;Pricing | Promotions
I've got it far enough but it's good;< 30;Female;Other
There is a good atmosphere and a wide range.;60+;Female;Look and feel | Range of goods
Not enough space to pass.;30 - 60;Male;Space
It parks well and I get everything I need.;< 30;Female;Parking | Range of goods
I know everything well here;30 - 60;Male;Arrangement of the store
Uncomfortable service, good bread;30 - 60;Male;Quality of bakery | Staff | Quality of goods
You have a great shop I like going here;30 - 60;Female;Look and feel
Queues at checkout. Small selection of goods.;30 - 60;Female;Queues | Range of goods
The queue at the checkout sometimes hinders me.;60+;Female;Queues
Not completed, expired goods, prices do not match;30 - 60;Male;Availability of goods | Price Tags | Quality of goods
Choice;30 - 60;Male;Range of goods
Fresh vegetables and fruits;30 - 60;Female;Quality of FV | Quality of goods
It's on my way;< 30;Male;Proximity
Better bakery, fresher;< 30;Male;Availability of goods | Availability of bakery | Quality of bakery | Quality of goods
There are not so many people here, it is clear, spacious, two types of wheelchair;< 30;Female;Queues | Clarity | Space
I am satisfied with the quality and offer of goods. I like the environment.;< 30;Female;Look and feel | Range of goods | Quality of goods
Very nicely renovated and clean.;< 30;Female;Look and feel | Cleanliness
Large and well arranged store the largest selection of fruits and drinks;60+;Male;Range of FV | Clarity | Space | Range of goods
It's kind of family-friendly here;60+;Male;Look and feel
Well renovated shop;< 30;Female;Look and feel
Everything I need here is;< 30;Female;Range of goods
There's quite cheap stuff, so I come here;30 - 60;Male;Availability of goods | Pricing
When the goods are marked with a discount, sometimes it does not work at the checkout;60+;Female;Price Tags
Buy everything, distance, range.;< 30;Male;Availability of goods | Range of goods | Proximity
There's narrow and short shopping belts;< 30;Female;Arrangement of the store | Space
The nearest store, just prices are higher;< 30;Female;Pricing
There's a lot to know in one place and other shops;< 30;Male;Proximity
There's a cheap and good selection of vegetables;60+;Male;Availability of goods | Range of FV | Availability of FV | Pricing | Range of goods
Quality Czech food, milliard staff;60+;Male;Staff | Quality of goods
Well done here, nice new store.;30 - 60;Female;Look and feel
Often they do not have goods to action.;30 - 60;Female;Availability of goods | Availability of promo goods
There is good space, nice environment;30 - 60;Male;Look and feel
It is good business and pleasant environment;30 - 60;Female;Look and feel
It is not very clean and there are no self-service cash registers.;30 - 60;Female;Self-checkout | Cleanliness
Long queues at the box office mainly in the morning;30 - 60;Male;Queues
They have very nice actions for vegetables, but also drugstores;30 - 60;Female;Quality of FV | Promotions | Quality of goods
They have good donuts and cheap.;30 - 60;Male;Pricing | Quality of bakery | Quality of goods
Prices total drugstore lower;60+;Female;Pricing
At the greasy counter, employees are not very willing;60+;Female;Staff
Have more cash registers at peak hours;30 - 60;Female;Queues
I live across and bill me the best oz;30 - 60;Female;Quality of FV | Proximity | Quality of goods
Satisfied, always make a choice, a lot of action ..;< 30;Female;Availability of goods | Promotions | Range of goods
Spatially and conceptually unfashionable shop;< 30;Female;Space
It's close to home so I often visit it;30 - 60;Male;Proximity
Because I like shopping here and I like wide spaces. I don't feel cramped;< 30;Female;Look and feel
Missing self-service treasures;30 - 60;Female;Self-checkout
Nearest store nearby, just enough.;30 - 60;Male;Proximity
Everything has improved a lot lately. Now good;< 30;Female;Look and feel
Reduce the total price range;< 30;Female;Pricing | Range of goods
I'm close and there's a good assortment;< 30;Male;Range of goods | Proximity | Quality of goods
It's so average, it cuts sausages badly;30 - 60;Male;Quality of goods
Sometimes it happens that the goods are sold out, but otherwise satisfaction. Nice staff.;30 - 60;Male;Availability of goods
Nice shopping environment;30 - 60;Female;Look and feel
It is difficult to judge, but I have everything necessary, I have a harder orientation here;< 30;Male;Arrangement of the store | Space
I would welcome a self-service checkout;30 - 60;Male;Self-checkout
Small assortment;< 30;Female;Range of goods
The quality of bananas and expensive;< 30;Female;Quality of FV | Pricing | Quality of goods
They don't have goods in action;30 - 60;Female;Availability of goods | Availability of promo goods
Meat, I can not choose at my own discretion, is already ready.;30 - 60;Female;Range of meat | Range of goods
For me a great deal stressful messy;< 30;Female;Arrangement of the store | Space
More action during the year and discounts;< 30;Male;Promotions
A larger selection of assortment of healthy nutrition;< 30;Male;Range of goods
It's a little confusing here;30 - 60;Female;Clarity
Satisfaction nice shop;60+;Male;Look and feel
I like it isn't a big deal I know where it is;< 30;Female;Arrangement of the store | Space
Excellent availability, high prices;< 30;Female;Pricing | Proximity
There are bigger shops and better quality;30 - 60;Female;Space | Quality of goods
Rich offer of sweets.;30 - 60;Male;Range of goods
More light, clean up the palette of alleyways;< 30;Male;Cleanliness
Sometimes there is no price tag with the price at the box office;30 - 60;Female;Price Tags
Mainly there is a large selection of goods, a selection of meat and fresh sausages;< 30;Male;Quality of meat | Range of meat | Range of goods | Quality of goods
Self-service cash desks and cash.;30 - 60;Female;Self-checkout
It would make the shop bigger.;60+;Female;Space
They have everything I need, I have no complaints;60+;Male;Range of goods
Small space behind cash registers for storing and storing purchased goods;< 30;Female;Space
I am satisfied here. It's clearly arranged, accessible;< 30;Female;Arrangement of the store | Look and feel | Clarity
Often sold out vegetables and fruits;60+;Female;Availability of goods | Availability of FV
It conforms to the spaciousness of the shop;60+;Female;Space
Confined spaces at the checkout and between shelves;60+;Female;Arrangement of the store | Space
Small nice environment, everything I need;< 30;Female;Availability of goods | Look and feel | Range of goods
The advantage is that it is close and as it is remade so we like it;60+;Female;Look and feel | Proximity
They have delicious bread, especially bread;60+;Female;Availability of goods | Availability of bakery | Quality of bakery | Quality of goods
I'm going to buy everything they need and a lot fast. There's no place to park.;< 30;Female;Availability of goods | Range of goods
Disgust, dirt, does not fit prices.;30 - 60;Female;Price Tags | Cleanliness
Pallets all over the store can not ride around with a basket;< 30;Female;Space
Good action;60+;Female;Promotions
Good fruit, good wine selection and coffee I buy here;60+;Male;Quality of FV | Range of goods | Quality of goods
It's in the business center, it's spacious, I'll drive with the stroller;30 - 60;Male;Space
Satisfaction, however, bothers me the action on Thursday and attracted people;< 30;Female;Queues | Promotions
Cheap quality Czech raw materials;< 30;Female;Pricing | Quality of goods
It is close, a large selection of goods, but a lot of people and queue.;< 30;Male;Queues | Range of goods | Proximity
Good selection of goods in action, overall clarity;< 30;Male;Availability of goods | Clarity | Promotions
Fresh food;< 30;Male;Quality of goods
Cheaper goods and not marked where the goods come from, I do not know it;30 - 60;Male;Arrangement of the store | Pricing | Price Tags
Buy everything, clarity, staff;< 30;Female;Arrangement of the store | Clarity | Range of goods | Staff
There is a large parking lot and a wide assortment.;30 - 60;Female;Parking | Range of goods
It's not a big store.;30 - 60;Male;Space
Accessible by public transport, elevator.;60+;Male;Other
Nice service, good bread.;< 30;Male;Quality of bakery | Staff | Quality of goods
Large store and no queues;< 30;Female;Queues | Space
Just come here a little when we go by and everything is fine;60+;Female;Look and feel
Large selection of beers including Náchod specials;< 30;Female;Range of goods
There's everything you need;60+;Female;Range of goods
I've always got everything I needed;< 30;Male;Availability of goods | Range of goods
Helpful staff at the box office mainly to our old;30 - 60;Female;Staff
Sometimes I like something here, it is spacious, pleasant here;60+;Female;Look and feel | Space
Large well-arranged, interesting events;30 - 60;Male;Availability of goods | Arrangement of the store | Clarity | Space | Promotions | Availability of promo goods
Except for a few things, it's okay;60+;Male;Look and feel
There are no parking spaces;60+;Female;Parking
It improved a lot here;30 - 60;Male;Look and feel
Little fruit;60+;Male;Range of FV | Range of goods
Harder to orientate in business, junior in order;60+;Male;Arrangement of the store
Put away the ATM and prefer to have a place at the checkout and to clean up your shopping;60+;Female;Queues
The assortment suits me. It's clear;60+;Male;Clarity | Range of goods
Accessible by public transport, elevator.;60+;Female;Other
Good quality goods and assortment;30 - 60;Male;Range of goods | Quality of goods
Nice business arrangement flowers;30 - 60;Female;Arrangement of the store | Clarity
Nice big shop, cheap goods;30 - 60;Female;Look and feel | Pricing
Occasionally missing action items;30 - 60;Male;Availability of goods | Availability of promo goods
We advice very satisfied impeccable and friendly sales;30 - 60;Female;Look and feel
Location unsuitable for friends;30 - 60;Male;Other
I do not like the arrangement of goods after reconstruction;< 30;Female;Arrangement of the store | Clarity
Friendly and smiling staff;30 - 60;Female;Staff
There are minor flaws;30 - 60;Male;Other
I like special prices in food;30 - 60;Male;Promotions
I am satisfied with everything here most;30 - 60;Female;Availability of goods | Look and feel | Range of goods
Queues at the ticket offices, not discounted leaflet discounts.;30 - 60;Female;Queues | Price Tags
It's good here, there is everything, especially it's clear.;< 30;Male;Clarity | Range of goods
Good offer, long opening times.;60+;Male;Availability of goods | Opening hours | Range of goods
Satisfied, with all well, friendly and fast staff;30 - 60;Male;Look and feel | Staff | Quality of goods
It's spacious here Ales couple was better;60+;Male;Space
Well accessible, convenient parking;< 30;Male;Parking
Poor quality vegetables;30 - 60;Male;Quality of FV | Quality of goods
Clean and tasty food;60+;Male;Cleanliness | Quality of goods
When they have something good in action.;30 - 60;Female;Availability of goods | Promotions | Availability of promo goods
Self-service checkout should take meal vouchers;< 30;Female;Vouchers, loyalty | Self-checkout
Good selection of vegetables, drinks, pastries. Pretty good delicacies. Chilled pork does not taste good after cooking.;60+;Female;Quality of meat | Quality of goods
Goods in action are quickly sold out, better stock and replenishment of action goods;30 - 60;Female;Availability of goods | Availability of promo goods
You can choose meat ...;60+;Male;Quality of meat | Quality of goods
Overall shop is in order we go regularly;60+;Male;Look and feel
I'll find everything.;60+;Male;Range of goods
So there's a lot of space. I have good shopping here;< 30;Female;Look and feel | Space
Only for big purchases only when I have enough time because there are large queues and staff at the sausages very unpleasant and slow.;60+;Female;Queues | Staff
I like the layout of the store and the staff here.;30 - 60;Male;Arrangement of the store | Clarity | Staff
They have other events here than elsewhere and they park here well.;60+;Male;Parking | Promotions | Range of goods
Some prices seem pretty high to me;< 30;Male;Pricing
For me a great deal stressful messy;30 - 60;Male;Arrangement of the store | Space
Large selection of fresh food in a new coat.;30 - 60;Female;Range of goods
Selection, pastry;30 - 60;Male;Quality of bakery | Range of goods | Quality of goods
Clean shop layout;< 30;Male;Arrangement of the store | Cleanliness
Narrow corridor for large baskets;< 30;Male;Space
Prices low, there is a post office, toilets, friendly staff.;30 - 60;Female;Pricing | Staff
Strengthen security and use space;60+;Female;Security | Arrangement of the store
The cell shop is wrong and it cancels the advice;60+;Male;Other
Cleaner store waiting at the checkout;30 - 60;Male;Queues | Clarity
Nice shop, easily accessible, sometimes it is harder to park here, but otherwise satisfaction;30 - 60;Male;Look and feel | Proximity
The bread is fresh here;< 30;Male;Quality of bakery | Quality of goods
It should be bigger here, more like a hypermarket, it's small;< 30;Female;Space
The goods are not price tags, scanner on the price I also found. I praise the self-service checkout. I have no problem with quality here.;60+;Female;Self-checkout | Price Tags | Quality of goods
Nice staff, clean shop, assortment;30 - 60;Male;Range of goods | Staff | Cleanliness
Good goods interesting events and every week other goods.;< 30;Female;Availability of goods | Promotions | Range of goods | Availability of promo goods
Lots of goods, quality and fresh, very good prices, especially for goods in promotions.;60+;Male;Availability of goods | Pricing | Range of goods | Availability of promo goods | Quality of goods
To improve the behavior of some shop assistants, sometimes I can stain more;60+;Male;Staff
Well arranged, there are no holes in the shelves.;< 30;Female;Clarity
Have more cash registers open;30 - 60;Male;Queues
We are happy to remake this cell, it looks better;30 - 60;Male;Look and feel
Clear, clean, good assortment.;< 30;Female;Arrangement of the store | Clarity | Range of goods | Cleanliness
Large selection of products, spaciousness of the shop;60+;Female;Space | Range of goods
Great prices, Czech products, the best quality;30 - 60;Female;Pricing | Range of goods | Quality of goods
It's quite expensive;60+;Male;Pricing
Small assortment of goods, high prices, junk food.;60+;Female;Pricing | Range of goods | Quality of goods
Spacious and organized store with good choice and prices.;30 - 60;Female;Arrangement of the store | Pricing | Clarity | Space | Range of goods
In the afternoon there are more people, forming queues at the ticket offices;30 - 60;Female;Queues
Good events, quality, prices.;< 30;Female;Pricing | Promotions | Quality of goods
Low-quality food;30 - 60;Female;Quality of goods
Queues at checkout sometimes, otherwise well;30 - 60;Male;Queues
There is a large parking lot and a wide assortment.;30 - 60;Female;Parking | Range of goods
It is a little clear and narrow stroller streets;30 - 60;Female;Arrangement of the store | Clarity
There are big queues at the ticket offices;30 - 60;Female;Queues
Sometimes spoiled meat and the hostility of shop assistants.;30 - 60;Female;Quality of meat | Staff | Quality of goods
Now it's new and confusing for me;30 - 60;Male;Arrangement of the store | Clarity
Little choice, it's expensive here;30 - 60;Male;Pricing | Range of goods
On Friday afternoon the goods are already discussed and action;60+;Female;Availability of goods | Availability of promo goods
The whole store remodel, otherwise it is good that there is;< 30;Female;Arrangement of the store | Clarity
If the cash registers really improved;< 30;Female;Queues
The meetings are being remade here and I have to look for something.;< 30;Male;Arrangement of the store
Have everything ready in the morning;30 - 60;Male;Availability of goods
Improve security and enjoy the input;30 - 60;Male;Security | Space
Staff, assortment, arrangement;60+;Male;Clarity | Range of goods | Staff
Fresh products;< 30;Male;Quality of goods
Price tags I have to watch and receipts otherwise service perfect;30 - 60;Male;Price Tags
Not always fresh, small selection.;30 - 60;Female;Range of goods | Quality of goods
I buy a normal business and go;60+;Male;Range of goods
Ordinary smaller shop, it's good here;60+;Female;Space | Range of goods
Long opening hours.;< 30;Female;Opening hours
Excellent fruits and vegetables.;30 - 60;Female;Quality of FV | Quality of goods
Large, well arranged store;60+;Female;Arrangement of the store | Clarity
Introduce self-service cash registers;< 30;Male;Self-checkout
I absolutely like this smaller shop. Pleasant atmosphere, very good shopping here. Not like a folk where people steal action items from kosik.;< 30;Female;Availability of goods | Look and feel | Availability of promo goods
Helpful, they have delicious pastries;< 30;Female;Quality of bakery | Staff | Quality of goods
New, spacious, just a big rush today.;< 30;Female;Space
Nearest store nearby, just enough.;60+;Male;Proximity
Satisfied, they're nice here;30 - 60;Male;Staff
They are willing and good goods here;30 - 60;Female;Range of goods | Staff | Quality of goods
I go to my parents, so I buy them here, I'm on my way;30 - 60;Female;Availability of goods
Sometimes I come here when something runs out at home, it's close;60+;Female;Proximity
It suits me here as it is, the best goods;< 30;Female;Look and feel | Range of goods
It could be open even longer.;60+;Male;Opening hours
There's a lot of homeless people in front of the shop clutter.;30 - 60;Female;Security | Cleanliness
I don't know I don't solve it. Good opening hours.;30 - 60;Female;Opening hours
I've got it far enough but it's good;60+;Female;Other
Self-service checkouts do not take cash;30 - 60;Male;Self-checkout
She had a well-arranged shop, she had no problem here;60+;Male;Look and feel | Clarity | Space
Distance, fresh bread;60+;Female;Availability of goods | Availability of bakery | Quality of bakery | Proximity | Quality of goods
It's more expensive than the competition;< 30;Female;Pricing
Queues at the box offices and when I eat one croissant look very ugly here;60+;Male;Queues
It's a big deal and it's a great choice and peace of mind;< 30;Female;Availability of goods | Look and feel | Range of goods
Sometimes there is no pastry in the evening;< 30;Female;Availability of goods | Availability of bakery
Lots of good deals in one place;30 - 60;Female;Look and feel | Range of goods
I'm satisfied I have no reason not to be what I wanted to have;60+;Female;Availability of goods | Range of goods
Always quality goods availability;30 - 60;Female;Availability of goods | Quality of goods
It seemed clearer to me before;< 30;Male;Arrangement of the store
Queues, too many people, poor throughput.;60+;Female;Queues
Long-time self-service checkout for small purchases.;< 30;Female;Opening hours | Self-checkout
Compliant with a wide range;30 - 60;Female;Range of goods
I like everything here, happy;< 30;Male;Look and feel
It's close to my way home.;30 - 60;Female;Proximity
Frequent actions on vegetables and fruits;< 30;Female;Quality of FV | Promotions | Quality of goods
Satisfied, rebuilt. Nice, lots of events.;< 30;Male;Look and feel | Promotions
Cheap butter and more discounts at the store;30 - 60;Female;Pricing | Promotions
Sometimes jumped price tags, missing some assortment, beef ribs in packaged meat, seriously in sausages ...;< 30;Male;Availability of goods | Availability of meat | Price Tags | Staff
They wouldn't have to have such long queues;< 30;Male;Queues
Location unsuitable for friends;30 - 60;Male;Other
There are terribly small streets.;30 - 60;Female;Space
Large selection of staple foods;30 - 60;Female;Range of goods
It would be good to do self-checkout;30 - 60;Female;Self-checkout
Satisfied nice clean, clear shop;< 30;Male;Look and feel | Clarity | Cleanliness
I buy here a clear clean shop;< 30;Female;Look and feel | Clarity | Cleanliness
After the reconstruction I do not like here very much and pastries on the product I do not like for hygienic reasons;60+;Female;Look and feel | Quality of bakery | Quality of goods
I only come here when I watch my grandchildren so I buy it;60+;Male;Range of goods
Small shop, but a wide range of food;60+;Male;Space | Range of goods
I come here because the pharmacy is near;60+;Female;Other
Pork and beef meat from Poland.;30 - 60;Male;Quality of meat | Quality of goods
All they need is better deals;60+;Female;Arrangement of the store
Just come here a little when we go by and everything is fine;< 30;Female;Look and feel
Don't get pastry, big queues;60+;Male;Queues | Quality of bakery | Quality of goods
We get here from home;60+;Male;Proximity
More fresh meat and domestic products and more organic.;30 - 60;Male;Quality of meat | Range of goods | Quality of goods
I like the warm counter here otherwise higher prices;60+;Female;Pricing
Clear, good and a wide range;60+;Female;Clarity | Range of goods | Quality of goods
Very satisfied, after the rebuilding clear, nice, I like to shop here.;60+;Female;Look and feel
Proximity action;60+;Male;Promotions | Proximity
Perhaps differentiate themselves from the others by the large ceiling window;< 30;Female;Other
Large spacious shop and super prices;30 - 60;Female;Pricing | Space
