SENTIMENT;TEXT
Neutral;Freshness of bread
Positive;I buy big shopping here it's a spacious shop and I have peace of mind to buy
Positive;I have good shopping here, clear shop.
Negative;Good supply of goods, but it's pretty expensive
Positive;Wide range, self-service checkouts, fast check-in, everything suits.
Positive;Quality goods and low prices
Positive;I like it here, there is clean, good food at an affordable price
Negative;Sometimes it was confusing as they remade it
Negative;Old rolls, moldy sausages.
Positive;Satisfied, a large selection of everything.
Positive;They have nice vegetables
Negative;There are no toilets. Not even where to sit.
Positive;Large, spacious. Large parking .. satisfied.
Negative;Little place when shopping, no place to put away.
Negative;Small choice, high prices
Positive;Spacious, clean shop
Positive;We also connect with other shops, not only Tesco, well-arranged grocery shopping.
Neutral;Fruits vegetables and pastries
Negative;It used to be much clearer here before.
Positive;Pleasant atmosphere, few people,
Positive;Availability
Positive;Pleasant saleswoman, good nice shop
Positive;I have good shopping here, space between shelves and good choice.
Positive;So it's spacious, I can go through the stroller. The goods suit me
Negative;Self-service checkouts could be made for cash
Negative;Bad food good discounts
Positive;It is a spacious shop and I buy as needed.
Negative;Newly opened self-service checkout, missing price tags
Positive;It's close here, nice shop assistant.
Neutral;I'll buy what I need
Negative;No big queue cabinets
Negative;More open cash registers I would take.
Positive;There is a lot of space and clearly arranged goods
Negative;Small cash registers, little space
Positive;Now in the morning it is excellent shopping even here is no queue
Positive;We have it near the house and there's almost everything I need
Positive;Quite a good deal, in the morning there are no queues
Positive;We recommend I ...
Positive;Smaller space, larger assortment
Positive;Good shopping, clear, good events .....
Positive;Skilful staff. Bread selection. They have good actions.
Positive;I buy here often, goods well arranged.
Positive;Small shop, fresh food, quick purchase.
Negative;Long queues
Positive;We come here several times a day, we are very satisfied here
Positive;Large assortment of goods. quality
Positive;Large selection of fresh food, quick purchase of nice small home store.
Negative;Increase the selection of goods, especially fruit
Negative;Probably more staff ....
Negative;For the smallest here data changing table
Positive;Clean decent business, spacious little people
Positive;Always freshly sliced salami, friendly staff
Positive;I'm almost satisfied here. It's clear, good goods
Positive;It's much better now than before
Positive;Shopping is good here, it is not crowded here like in Kaufland.
Positive;Good offer of bread, great choice.
Negative;When replenishing, they take up a large store space, mainly to replenish the goods
Positive;Very good meat and tastes
Negative;There's no pretty vegetables and fruits
Positive;I like it here, well, more product. I am satisfied with the products and products
Positive;I like the layout of the store and the staff here.
Positive;Sufficient choice of food
Positive;There is a convenient parking area and self-service checkouts can be purchased so quickly
Positive;It's on the way home and it's cheap here.
Positive;I'll buy everything here, it's clear
Positive;It suits me here as it is, the best goods
Negative;Sometimes wrong price tag
Positive;I like it here, there is peace and pleasant environment and shopping throughout the OC Harfa.
Negative;Self-service checkouts, more staff
Positive;I don't know now ... I like it here
Positive;Great offer of fruits and vegetables.
Positive;Offer width and prices.
Positive;Business transparency, organization, staff
Positive;Good pastry good vegetables
Positive;They've improved a lot, it's good.
Positive;I'm going to make a good purchase here. Excellent vegetables. Nice surroundings.
Positive;Because they're nice saleswomen.
Positive;Nice service and everything is clean and clearly arranged.
Negative;More pleasant staff ..............
Positive;It's spacious, clean, clear
Negative;Big queue, not very clean
Positive;It is good to park here and buy shoppers pleasantly
Positive;Great choice and good prices
Positive;Pleasant small shop with a wide selection
Negative;It happened to me that the salami was dried up.
Positive;It's closest to me for the apartment
Negative;Another price tag at the store and another at the checkout, low quality of all fresh products
Negative;The goods could be exposed more clearly
Negative;The quality of the bakery ... and the queue
Positive;It's close to having everything here.
Negative;Vegetables, queue at the checkout
Negative;Quite a small selection of goods. More biscuits and sweets for kids
Negative;Not all goods are in action
Negative;Extend the range of vegetables, add storage counters behind the cash registers.
Positive;There is enough to choose from, there is nothing to improve.
Positive;Good parking and fresh food.
Positive;I am satisfied with the assortment, quality
Positive;Cleanly, tidy and clear
Negative;Pastries at 18 are no longer rolls and buns, queues at cash registers, paid parking
Negative;Good prices of goods, but there are too many people, long waiting at the box office
Positive;It's clear here, all together, fast
Positive;Best prices, quality food
Positive;It is cheap, long open
Positive;Long opening hours, large selection of action items
Positive;I like smaller shops and also with healthy nutrition
Positive;Calm, good food, good quality and fresh
Positive;More expensive but clean, interesting and I find quality food.
Positive;New, clean and clear shop.
Positive;I like it here, I buy well here
Negative;Occasionally unfinished pastries in the evening
Positive;We choose, we pay at the self-checkout, it's good
Positive;Large selection of foods for a small convenience store
Positive;Quick cash register today
Negative;It seems to me that it is very big here and it is a bit confusing for me
Positive;Near the bus and well come with children
Positive;Me near good shopping here
Positive;You can buy here quickly
Positive;Complies with assortment and staff
Positive;I got it closest, good assortment
Positive;There's everything I like and they're nice
Negative;Sometimes I don't fit price tags,
Neutral;Pretty normal shop, but she had.
Negative;Introduce self-service cash registers also for cash payment
Positive;A large selection of spacious business well events
Negative;It's a normal deal only they could open up more treasure
Positive;Enough to choose the size of the store, the goods have no comments
Neutral;Many goods but sometimes I do not know
Negative;I do not know what to say, it happens that the goods from the leaflet are missing.
Positive;It was good and close to having a shop
Positive;I quickly buy without a queue
Positive;I got it at the house. Good fresh meat and sausages.
Positive;I like coming here, everything is fine
Negative;Poor experience with prices and price tags
Positive;Fresh vegetables, fresh chilled meat
Positive;Convenient proximity to the store
Negative;More store space in the aisles
Negative;The range should be expanded a little in the evening. In the evening the goods are pretty sold out.
Negative;Occasionally the quality of vegetables is worse but yonak ok.
Positive;It is clear and simple
Positive;Large selection, affordable prices
Negative;Fruits and vegetables is withered and not fresh
Positive;Large selection of well organized store
Negative;Sometimes little bread or is burnt
Negative;Queue at checkout and rubber pastry
Positive;Clear, clean, shop, helpful staff
Positive;Business transparency, organization, staff
Positive;Large selection of food, drugstore, clothing
Positive;Satisfied, I can't scream, okay.
Positive;I shop here daily, very satisfied, there is everything.
Negative;Have more goods in action what's in the flyer.
Negative;Poorly marking goods, good fruit
Negative;Few goods and long queues
Negative;Small selection of fruits and vegetables.
Negative;It is far from home, poor accessibility.
Negative;Sometimes there are bad vegetables, queues at the cash registers.
Positive;Nice service, clean, quality goods.
Positive;Clean shop opening times of good
Negative;Missing goods from events, it should not happen
Negative;I don't like the fact that there are no self-service checkouts
Positive;Good supply of alcohol
Positive;Because they have a pretty modern and nice shop assistant.
Positive;Fresh bread, clarity
Positive;I wouldn't change anything here, it's okay
Negative;Queues at the box office and they had nothing to look for, the pastries did not look nice
Negative;Sometimes they don't have action items
Positive;Clearly, a good assortment
Positive;It's a shop for small necessary purchases.
Positive;I really like shopping here
Negative;Higher prices than elsewhere.
Negative;Cash registers, large queues, self-service cash registers can only be paid with cards.
Negative;Uncomfortable staff, expired goods, poorly labeled goods, low food quality.
Positive;I like the business environment here
Positive;Good access from home, self-service checkout, gallery with additional goods
Negative;There's often weird flesh, like it's gone.
Positive;There's a cheap and good selection of vegetables
Negative;Few meats in action
Positive;There's everything
Positive;Beautiful and pleasant environment
Positive;Helpful staff, nice shop.
Positive;So there's a lot of space. I have good shopping here
Positive;It's good shopping here.
Positive;Good offer, few people, cheap
Negative;There is no fresh fruit and vegetables
Negative;Queues at the box office, unhealthy staff
Positive;I only come here satisfied
Positive;Pretty good actions and I always buy well here
Positive;It's clean and clear and they have the best ham and salami.
Positive;Transparency, fresh fruits and vegetables
Positive;I like it open until ten
Negative;Today they have nice vegetables at other times it's bad, they got better in sausages
Positive;I have no comments on this
Positive;Easy shopping, large assortment of goods
Positive;Clear shop, everything is in the eyes
Positive;It's nice here and I like it.
Positive;If I have a way around, I buy it
Negative;There is no fresh bread, otherwise
Neutral;Vegetables, staff, distance.
Positive;Very satisfied, I shop here often.
Negative;Queues, no prices,
Negative;They treat bad goods at the cash register
Neutral;Excellent availability, high prices
Negative;An extremely small selection of vegetables and fruits.
Neutral;Freshness of meat, bakery products
Positive;Very friendly and warm staff
Positive;Very friendly and warm staff
Negative;I wander the supermarket and mostly look for products
Negative;Sometimes I do not see if I have to look for discounts
Negative;Great availability, but limited range
Negative;I only come here from around it. Will see prices, different for cash and different for goods.
Negative;Some foods could be cheaper
Positive;Availability, large parking, self-service car wash.
Positive;Good prices and a big shop
Neutral;Good pastry, long wait
Positive;It's nice and good here
Positive;Large, clean shop and quality food
Negative;We could come up with the quality of vegetables and more choice
Positive;Buy everything I need, nice saleswoman, good goods
Negative;They wouldn't have to have such long queues
Positive;Because I like it here, and it makes good shopping here
Positive;Large and spacious parking lot, parked near the entrance
Positive;Because I buy well here. It's smaller and clearer
Positive;Possibility to pay cash at the checkout self-service
Neutral;Sometimes something is missing, otherwise no problems
Negative;Orientation in goods.
Positive;Excellent pastry
Positive;It is really good to shop here. It's a large, spacious, lights shop.
Positive;Quick purchase, me suits distance
Positive;Good prices and I'm close. I'm happy
Positive;No problem I buy here for the whole family, everything is necessary here. Clean trade, fresh goods. Nice staff.
Positive;Nice shop and whole gallery Harp.
Positive;Transparency, fruits and vegetables
Positive;It's a nice little shop, it suits me.
Positive;Yeah, I like their actions here
Positive;Range of goods. Great choice. Satisfaction.
Positive;I have no reservations. Selection of sausages and vegetables. Offer drinks. Fast and convenient shopping.
Negative;Moldy fruit in action queue at cash registers
Positive;A lot of goods, it is clear here.
Negative;Selection of pastries and evenings and more cash desks
Positive;Availability, nice interior design
Positive;Satisfied, I have it close, good fruit, everything clear.
Negative;Unclear, I don't know here
Positive;There's everything good to buy here
Negative;It's a bit confusing, meaninglessly ordered.
Positive;A lot of nice gifts and good prices.
Positive;Selection of fresh baked goods
Positive;Clear, nice, I like the store.
Negative;Little space between cash registers, small storage space.
Positive;The cheapest prices and the largest selection of goods in the city
Negative;The toilets are dirt and mess.
Positive;It's near the station. Self-service checkout suits me
Positive;Friendly staff, quality and fresh ingredients
Positive;Large selection, wide assortment, but poorly passable narrow streets
Negative;Somewhere is missing the price so watch it
Positive;I'm close to buying what I need
Positive;Size of shop selection of goods
Positive;It's nice here, Interspar was better.
Positive;There is a large parking lot and a wide assortment.
Positive;On the way to the cottage we buy in the lidl
Negative;I miss the self-service cash registers, the queues are here
Positive;Smaller business than the surrounding competition, faster purchase
Positive;Great choice, large parking
Negative;There's not enough space for how much there is
Positive;Wide range and I like to park and park here
Positive;A good selection of nice saleswomen
Negative;The store is a bit confusing
Negative;No queues
Positive;I got it close and there is everything
Positive;It's cheap
Negative;I do not like the system of self-service checkout, often it is not even employees
Positive;Large parking lot and well get here
Negative;Because they are more expensive here than Lidl or Kaufland
Negative;Short opening hours
Positive;Okay action great choice
Negative;Small selection of sausages, expand the range
Positive;Good availability, choice of goods, choice of vegetables
Neutral;Choice, I have to drive, distance.
Neutral;It is not possible to do much with the size of the space or the parking lot
Negative;Few places, long queues at the box offices, the fruit is sometimes rotten or moldy (strawberries).
Positive;There aren't many people here
Positive;There's fresh produce and nice fruit vegetables
Positive;Large selection of goods, various goods
Negative;Unclear, small selection of cheese, spreads, not completely clean
Negative;Better quality fruits and vegetables
Positive;It's cheap, frequent action
Negative;Well, for me, for pensioners, the price is important.
Negative;Queue and evening is not pastry
Positive;I like the wide assortment
Negative;The store should have better prices.
Negative;Sometimes they don't have goods in action. Large queues at the checkout. Small selection of fruits and vegetables.
Positive;Good pastry and I can slice bread, but also good vegetables.
Neutral;So I can't think of anything at the moment
Negative;Move the cash registers to have wider streets and run through two baskets
Positive;Possibility to pay cash at the checkout self-service
Positive;Clearly, nice vegetables and fruits.
Negative;Opened little cash registers
Negative;Long queues
Positive;The store is next to my job
Positive;Big purchase, park and buy
Negative;Few dairy products
Positive;It's close to me for the bus
Positive;I have it at the house a major advantage for this shop
Positive;Shopping here is fast, it is a smaller shop and there are not many people.
Positive;I am very satisfied, clean shop, nice, nicely arranged, friendly staff
Positive;Convenient store clarity, helpful staff
Negative;Occasionally queue
Negative;A small selection of dairy products.
Negative;I have no idea where it is in more places
Negative;A few good things to do but don't have them.
Positive;Satisfaction with my maximum is not going anywhere else
Negative;It bothers me that I can't pay cash at the self-service checkout
Negative;Improve store space
Positive;They repaired it nicely, it is clear, I am very satisfied here, friendly staff
Positive;I praise the saleswoman, everything is super set.
Positive;Tesco has a large space that suits me
Positive;It's close, the availability of a pharmacy, a lot of space
Negative;It tastes food, higher prices of goods
Positive;Nice small shop, everything clearly
Positive;Because they have everything here. And also good bread
Negative;Better supply and lower prices and more staff.
Positive;There's a wide selection of fruits and vegetables, and that's for me
Positive;I like shopping here, I like it here
Negative;I do not like the confusion of goods
Negative;Improve the quality of packaged chilled meat.
Positive;It is a good business, friendly staff
Positive;Always fresh fruits and vegetables, quality pastries
Positive;Clear and large store
Negative;There are better shops, for me Lidl.
Positive;Nice spacious shop, large selection, smiling saleswoman.
Positive;Everyone is willing here
Positive;I shop well here I like this store
Negative;It's near the bus. Often there are sold out events.
Positive;I am satisfied here, it is clear
Negative;He won't queue up at the box office.
Negative;Overall quality of goods delivered to the store
Positive;Large selection of cheap food
Negative;There's often weird flesh, like it's gone.
Positive;We like to get everything here
Negative;More professional and faster service for delicatessen, some are slower, only sometimes
Negative;I do not like queues at cash registers, some specials sold out.
Positive;Especially I have a bit here and the usual daily shopping here is enough enough, at least I do not spend for uselessness like in a hypermarket
Negative;Returns meat and pastries
Negative;Occasionally there is no staff in the chilled meat section, they have to wait. Queues to cash registers.
Negative;Quite often queues and occasionally cashiers unwilling, otherwise prices good
Negative;There was a cruel slice in the leaflet and there is no shop, he didn't come at all
Negative;When I need a purchase tonight, sometimes there are some goods missing, but only a few. Otherwise, I am very satisfied.
Positive;Large selection of food, special offers, opening hours
Negative;It would be good to do self-checkout
Positive;We like to pay pretty vegetables at the cash register
Positive;Wide range, clarity
Negative;They have a small assortment, but it's close.
Positive;They renovated it very well, it did
Positive;Large selection of food, cool special offers, fresh fruits and vegetables
Negative;They don't have good meat, it's smelly.
Negative;Fresher fruits and vegetables
Negative;It's been half a year redone and I'm still looking for something ...
Positive;Clear, wide assortment
Positive;It is quiet and neatly arranged
Positive;Quiet pleasant shop. He has no problem
Positive;We buy what we want, a wide range of foreign kitchens
Negative;More product range
Negative;Self-service cashes instead of speeding up buying slows down
Positive;We like to shop here regularly
Positive;Self-service checkout suits me, I pay by card and it speeds up waiting time at checkout
Positive;We park here well and we are used to it.
Positive;Cheap prices and there is room to buy well with a stroller between the shelves
Positive;You can buy here quickly
Negative;Sometimes there is a little queue at the box office but it can
Positive;All in one place. Organized
Positive;They are willing and helpful, I like it here
Positive;Good dairy products and a nice selection of vegetables.
Positive;There is a large parking lot where there is always space, so I park well.
Neutral;Self-service counters and loyalty cards
Positive;Well placed store
Negative;Frequent queues, bad vegetables.
Neutral;I live meetings, it's nice here, but I want to wait less.
Positive;I always buy what I need.
Negative;And it is a bit confusing for me and I stayed at the box office for a long time.
Positive;There is a better environment, not so many customers
Positive;Spacious shop, good choice
Negative;More open cash registers so there are no queues.
Negative;I hate to come here because there is little space between the shelves
Positive;Good offer good quality food within reach
Negative;Less transparent shop, pastries sold out in the afternoon.
Negative;It is rebuilt here and it does not suit me.
Negative;More discounts on meat and flowers
Positive;It is so small and quite clear
Neutral;Add employees so they don't take too many turns to take care of the store.
Negative;Lack of goods and unpleasant staff in delicacies
Neutral;It is expensive, but there is a larger selection of goods
Positive;Action, close to home, I go regularly
Positive;Nice fresh goods store
Negative;Bad food good discounts
Negative;High prices, uncomfortable service
Positive;Helpful staff
Positive;Buy everything, nice environment
Positive;Well-arranged store, various points and so on ...
Positive;For larger purchases we go to good prices for everyone
Positive;Great store. There is a large selection.
Positive;Always fresh bread.
Positive;Good rebuilding and speed up service.
Neutral;Normal business, I don't deal with it much, I buy and go.
Negative;Disturbing men's small premises in the shop
Negative;Unpleasant staff, poor quality meat
Positive;If I wasn't satisfied, I don't come here.
Positive;Clearly, small, wide range, helpful staff
Negative;Not completed
Positive;It is the way right, good business
Negative;Those queues are terrible, otherwise cool.
Positive;Bread, assortment, space
Positive;I really like it after reconstruction.
Negative;Trolleys with unpacked goods will defeat in the aisle.
Negative;Improve freshness of fruits and vegetables.
Positive;It's clear and good here.
Negative;I know better shops, I'm not very happy here
Neutral;Like any business, he must
Negative;Self-service cash desks and cash
Negative;There are no rolls
Negative;Friendly staff, poor pastries
Negative;The store should be open longer.
Positive;Clearly, well sausages, meat
Neutral;I buy more in Bill but also here.
Neutral;The choice of goods and the prices are so average
Positive;Large and well stocked shop
Positive;I like that it's so central here I don't have to go far
Positive;Large selection of beers and alcohol
Positive;I'm happy here. It is clear and I have a good shopping here.
Positive;I park well here and I have a quick purchase here
Neutral;I liked it a lot earlier, it's just a big deal.
Positive;There is a large parking lot, a large shop.
Negative;Vietnamese often buy special goods
Positive;Then, as I remade it, she likes it very much
Negative;A self-service checkout would also be good for cash
Positive;It is easily accessible, they have long been open and I like the self-service checkout they have purchased.
Positive;Goods nice, pleasant environment, friendly service.
Positive;I'll get everything
Positive;They have a good selection, pastries, fruits. Sausages can also be eaten.
Positive;We like to get everything here
Negative;Quite often queues and occasionally cashiers unwilling, otherwise prices good
Positive;Large selection of fresh bakery products, cheeses and sausages, as well as non-food items
Positive;Proximity of residence
Positive;Quality, good price
Positive;Very good prices
Positive;I find what I need, we are satisfied
Positive;As the shop is small, I can easily buy here, I have no problem with the quality of goods
Positive;Everything is fine I like the new cash register
Negative;Better quality fruits and vegetables
Positive;I will buy quickly
Negative;Missing whole milk in the bottle and herbal butter.
Positive;Good shopping here, I don't like big shops unlike my wife, I have it on the way
Neutral;I miss the opportunity to have a cup of coffee and sit down.
Neutral;It is more expensive here than in Kaufland for large purchases, in stock.
Neutral;Too bad they were so small in size and choice of goods
Negative;Because of the long lines
Positive;More expensive but clean, interesting and I find quality food.
Positive;Fresh food
Negative;Sometimes they do not have goods for action.
Positive;There's order, clean, service perfect
Negative;Sometimes there is no price tag with the price at the box office
Positive;We like it here and close, we buy and choose well.
Positive;So here it is clear and I know where it is
Negative;Sometimes the goods are unfilled, the pastry is no longer in the evening, so we walk during the day,
Negative;Big queues
Positive;Large, spacious, well priced.
Positive;It's good here, we got everything.
Positive;There are very good events and fresh food
Positive;Quality, modern and cheap shop
Negative;There's not enough space for how much there is
Negative;Because sometimes they have something I don't like. E.g. it's expensive, so I don't take it
Negative;Expand the overall range, product quality and more space in the store and behind the cash registers.
Positive;I like it here, well, more product. I am satisfied with the products and products
Negative;Little space in the aisles and sometimes there are queues, but that's everywhere
Positive;Convenient proximity to metro, good range
Negative;It seems chaotic now, messy
Negative;Missing toilet for customers ...
Negative;Yoghurts and goods are not aligned and organized
Positive;Whether it made me here as a good deal
Positive;Airy, spacious shop
Positive;It is easily accessible, it is easy to buy here.
Negative;More staff, there are few and do not manage.
Negative;Better label your products and reduce product prices
Positive;Nice, clear goods. Lots of actions.
Negative;Reconstruction, wrong arrangement
Positive;A lot of dairy products and sweets from abroad.
Negative;Self-service checkouts could also be made for cash
Positive;There's plenty of goods, affordable prices and board action
Positive;Good Tesco products, shopping vouchers, great selection.
Positive;I am satisfied with sausages here
Positive;I'll buy everything here.
Positive;Nice shop, quality pastries
Positive;There are no problems, good business
Positive;Fresh bread, clarity, staff
Positive;Decent choice at small shop, good availability
Neutral;I don't know, it's a normal business here.
Negative;Action goods, often just in the morning.
Positive;Well arranged shop pleasant saleswoman
Positive;Nice service, lucidity of goods.
Neutral;It could be a 24-hour business.
Positive;Pleasant environment, always helpful staff
Positive;Well, because there are good events and the store is clear
Positive;It's a smaller business, I don't like big
Positive;Beautiful and pleasant shopping environment, helpful staff
Positive;Food selection and self-service checkout praise
Positive;This shop is closest, there is no other nearby
Positive;The largest selection of pastries and have fresh cheeses and sausages
Positive;We park here well and we are used to it.
Neutral;Range of goods,
Positive;Nice staff. Well-arranged goods.
Positive;Conveniently shopping in large and well stocked stores
Negative;Freshness, queues do not fit prices
Negative;Other price tag, clarity
Negative;Sometimes it comes here unclear
Negative;The quality of fresh goods is sometimes worse
Positive;It's a big cheap shop to buy everything you need
Negative;Sometimes the price is different for the goods and at the checkout, otherwise good
Positive;No, I do not mind satisfaction
Neutral;Too bad they were so small in size and choice of goods
Positive;I got it closest and I got used to it here
Positive;Perfect, spacious, I go with crutches.
Negative;Complete the right price tags for products that are in the discount
Positive;Well spacious parking, space in the shop, not many people come here
Negative;More discounts and more store space
Positive;I buy well, there is a large, clear, large selection of goods.
Positive;Always availability of goods good atmosphere
Positive;Small shop, quick purchase.
Positive;Now in the morning it is excellent shopping even here is no queue
Positive;I often stop by the way.
Positive;Good food choice. Selection of detergents.
Positive;I think the store is missing.
Positive;We are satisfied here, they could be cheaper.
Negative;When the event ends with poorly placed goods, under the action label is the goods already on the next special offer.
Positive;It's okay here, no mistakes
Positive;Because it's newly renovated and I really like it
Negative;There are big queues and there are many people
Positive;Good service
Positive;shop is in the city center and shopping center
Positive;Availability, low prices, queues
Neutral;Free parking for customers
Negative;More discounts on meat and flowers
Positive;Because we are happy, they have good goods
Negative;Disgust, dirt, does not fit prices.
Negative;Queues at the checkout, too big store
Neutral;On the way to work
Negative;Yoghurts and goods are not aligned and organized
Positive;Compared to the past, it has improved a lot here
Positive;It's good business, good prices, little advice
Negative;Czech products of good quality for a good price
Negative;After the reconstruction I do not know and I can not find my favorite things
Positive;Because there is a good choice, it is cozy. I like it here
Negative;It is expensive but it is the closest. I shop well here but I prefer to go to Lidl, it is cheaper.
Positive;Quality service and nice shopping environment
Positive;Satisfied, meticulous, clear ..
Positive;Because it's really good here. I like it here. I'm happy
Negative;Shop assistant ignores people
Positive;I appreciate the self-service checkout always fresh bread a large selection of products
Neutral;It's an average shop
Positive;My home is close, I shop elsewhere
Positive;Good opening hours
Negative;Have more types of whole grain bread.
Negative;It's expensive, I prefer shopping elsewhere.
Neutral;Well, I gotta get used to how it's arranged here. I have to get use to it
Positive;Spacious shop, large selection, good shopping here
Negative;More open cash desks ...
Positive;Transparency, large store
Negative;Unpack the goods in the morning
Positive;They have a varied selection of foods
Positive;I have nothing to complain about
Positive;I have nothing to do I am satisfied
Positive;Quality satisfied I am
Positive;It's cool here and have it all
Positive;Regular business, good choice, now it's nice, neat
Positive;I am very satisfied here with the staff and the offer and environment
Negative;Old shop, take over assortment of vegetables
Negative;Make the pastry after 16 hours fresh too.
Positive;On average I am satisfied here, there is nothing extra I have it just here
Positive;Except for the good queues, I take it as a small shop for a small purchase
Negative;Fresh, expensive, mess at the entrance.
Negative;The cell shop is wrong and it cancels the advice
Negative;I do not suit me Polish goods in the shop
Positive;It's good I don't miss anything here
Negative;A big shop, but it often happened to me that there was no replenishment, so I don't come here much
Negative;Sometimes there are queues at the checkout.
Negative;The size of the chicken thigh package is not suitable
Positive;Great choice.
Neutral;Sales
Positive;The best shop for me and I drive well with a wheelchair
Negative;Evening is not pastry, small range
Negative;Refresh the delicatessen here.
Neutral;It's more expensive than the competition
Negative;Poor parking, little space.
Positive;I park well here and buying is fast, it is a small shop.
Negative;Insufficient supply of frozen goods, especially fish.
Positive;Great choice, pleasant environment
Negative;Little willing staff can not help
Positive;Large selection of beers including Náchod specials
Positive;Benefit from special offers, more food choices and longer open working hours
Negative;Queue at the ticket offices
Positive;Purchase cool and without queues
Positive;I'll buy everything
Negative;I don't like how many times the price with the cash desk
Negative;Bad price tags
Negative;Queue cash register, shop needs reconstruction
Positive;Well, I come here most often, they have everything here.
Negative;I do not like the narrow streets, it is sometimes impossible to walk
Negative;I don't like the broken door at the entrance to the store
Positive;I'm far away, but I'm happy here.
Neutral;I already answered in a previous question.
Negative;In total, the assortment runs out of the shop
Positive;I always buy well here. It's a good deal
Positive;They have what we want, they shop well here
Negative;Not enough space in the streets .......
Positive;Because I'm happy here. Everything is well arranged and the range is good.
Positive;I have good shopping with children, a large space between shelves and the staff always give me good advice
Positive;Good action stuff sports at home
Positive;The food supply is sufficient, especially we like it close.
Positive;I'll get what I need for a smaller purchase
Negative;Missing self-service checkout here.
Positive;Convenient small and clear store good orientation
Positive;Wide range and I like to park and park here
Positive;They have a wide range, pleasant environment, good action prices.
Negative;I do not find them fresh fruits and vegetables
Positive;It suits me for taking meal vouchers
Negative;It's expensive here compared to Kaufland and Penny.
Positive;Satisfied. Well sliced sausages are coming here.
Positive;Well-arranged shop is good for me
Positive;Well arranged, easy to buy here.
Positive;It's a small shop I got quickly bought.
Positive;I come here every day, I'm happy, I have no problem
Negative;There is no better deal, so we rely on Bill, I do not like the quality of fruits and vegetables.
Positive;Shop with a wide range
Negative;More places behind the cash register, I can't clean up my purchases, so as not to interfere with someone, and there's a bottle machine.
Negative;Few goods in action
Negative;It bothers high prices in the store
Positive;Satisfied with the purchase, large parking
Negative;More cash registers opened and the most cashed cash register had little storage space.
Positive;Sufficient assortment
Negative;Queues
Negative;Look for rolls, old bread, otherwise I'm happy
Negative;Queues at checkout so more staff
Positive;Satisfaction all close
Positive;Very pleasant and helpful cashier.
Negative;I come here a little, it's far away
Positive;Shop just big, have everything we need, good events,
Positive;I got 1 tram stop here
Negative;No self-service checkout
Positive;It suits me in a new way
Positive;I like the shop here is a large, large selection of goods
Negative;Tiny queue
Positive;Large and well arranged store the largest selection of fruits and drinks
Positive;Because there is a good choice, it is cozy. I like it here
Positive;Quality raw materials, low prices, pleasant environment
Positive;Quiet shopping, pleasant environment, range
Negative;I don't like the store. He's grim and weird. little staff and then they missed and it looks like it looks
Positive;Cheapest prices, many Czech products
Negative;Poor product quality
Negative;Cheaper goods mainly pastries in the evening
Positive;I praise the saleswoman, everything is super set.
Neutral;Not bad but the joint was just better
Negative;There are terribly long queues, changing staff, unpleasant staff
Positive;I work next to the bank and buy large and small purchases here
Positive;It is easily accessible, has great deals.
Negative;Occasionally queue cash and small space
Positive;They buy it here, it's big
Positive;Nice environment and quality products and helpful staff
Positive;So I am satisfied here and it is affordable. But there are queues at the ticket offices
Positive;Compliant with meal vouchers
Positive;Satisfaction, discounts
Positive;I recommend quality food.
Positive;I got it close and they always have everything fresh here
Positive;I am happy with the purchase here
Positive;Now it's very nice here in terms of complaint resolution, everything will be in order and to my satisfaction
Positive;Availability, always completed goods
Negative;Some saleswoman's behavior is terrible
Positive;The big advantage is that you can park here in the garage, I never had a problem in the store
Negative;Good action, but too many people and long queues
Negative;Expensive shop
Positive;I like clean and order, and here it is
Negative;Lower prices of goods more helpful staff
Positive;I think the store offers a wide range and is trying to do everything for the customer
Positive;Large selection of food, fresh and quality meat
Negative;Introduce a self-service system
Positive;I have it close, but there are better deals. Self-service checkout suits me.
Negative;Too small shop because it is located in the square
Negative;Probably enlarge and modernize the parking space
Positive;We are coming here with a neighbor for a bigger purchase we are villages and we do not have a big shop there
Positive;I would recommend, there is a large selection of goods
Positive;It is easy to buy here
Positive;I have it close and have good textiles here
Positive;Availability of goods, prices
Positive;Satisfaction and staff
Positive;I am satisfied here. I have no problem with the purchase
Positive;Absolutely satisfied. Large, clear, nice staff.
Positive;We do not come here often we have it through the cell Hodonín, but today is the event in Planeo so we went.
Positive;Have a good little round bread. Satisfaction with food quality.
Positive;Assortment large, pastry good.
Positive;For smaller purchases it's good here. Not many people here
Positive;I know where I can find quickly
Positive;I like it here, it's all right.
Neutral;Large parking, good access to public transport, sometimes unpleasant staff, in the event of problems can not get a manager for a long time.
Negative;Dirt, dried bread, old meat, ham dried.
Positive;Clear and clean and a million people.
Positive;Because there is space, quite order, but also helpful staff
Neutral;Not everything is wrong, normal business
Positive;We are satisfied with the offer and the price
Negative;Something is sometimes missing
Positive;Nice saleswomen
Positive;They have everything fresh here and it's a big and well-arranged store.
Positive;I prefer to come here small and have it fresh here
Positive;There's always a few people, good shopping.
Positive;Bread bread quality
Negative;Hygiene at the store is terrible, people carry dogs in shopping trolleys, then you put food into it, it should not
Positive;Small, clear, good food.
Negative;Bad vegetables, long queues.
Negative;The quality of the meat, and set aside some pastries, bothers me that the pastry is toasted
Negative;Sometimes prices don't fit. Sometimes they are annoying cashiers. And expired goods
Positive;I walk badly and I have this store closest, I come here for years
Negative;I don't like it here, few employees
